header,title,title_url,channel_name,channel_url,timestamp,products,activity_controls,video_id,duration_seconds,topic_categories
YouTube,Watched 7 DAYS UNTIL SPOOKY SEASON! #halloween #spookyseason #funny #comedy #wednesdayaddamsdancing  #shorts,https://www.youtube.com/watch?v=5R0mCcq9t4U,Jasmin and James,https://www.youtube.com/channel/UC5OVPGQqCUm0CCyVzELGITQ,2024-10-20 18:45:47.378000+00:00,YouTube,YouTube watch history,5R0mCcq9t4U,21.0,"['Entertainment', 'Humour']"
YouTube,Watched Jalen Hurts takes a NASTY hit on sideline & Nick Sirianni yells at Robert Saleh,https://www.youtube.com/watch?v=IGNhlwSsWCs,Highlight Castle,https://www.youtube.com/channel/UCOj4lssy4oPL10xCd0oexZA,2024-10-20 18:44:06.073000+00:00,YouTube,YouTube watch history,IGNhlwSsWCs,94.0,"['American football', 'Sport']"
YouTube,Watched Rich Paul Keeps it 100 on Why Potential Gets Wasted in the NBA,https://www.youtube.com/watch?v=j7kR87rnV6E,7PM in Brooklyn with Carmelo Anthony,https://www.youtube.com/channel/UCT3wF21Qx0d0HmuiCzji8Lg,2024-10-20 18:43:58.397000+00:00,YouTube,YouTube watch history,j7kR87rnV6E,430.0,"['Basketball', 'Sport']"
YouTube,Watched Aaron Judge and Giancarlo Stanton go BACK-TO-BACK off Emmanuel Clase to TAKE THE LEAD in ALCS Game 3,https://www.youtube.com/watch?v=_3ml7CIgFX4,MLB,https://www.youtube.com/channel/UCoLrcjPV5PbUrUyXq5mjc_A,2024-10-20 18:42:55.458000+00:00,YouTube,YouTube watch history,_3ml7CIgFX4,279.0,"['Baseball', 'Sport']"
YouTube,Watched Barstool Employee’s Hypothetical Question For Joe Burrow￼,https://www.youtube.com/watch?v=e96jwtn9uAc,Barstool Sports,https://www.youtube.com/channel/UCifWD4FBa4eaKK7HLF0PlTA,2024-10-20 18:41:48.713000+00:00,YouTube,YouTube watch history,e96jwtn9uAc,52.0,"['Entertainment', 'Film']"
YouTube,Watched Nick Sirianni Apologizes For Yelling At Fans After Eagles Beat Browns,https://www.youtube.com/watch?v=1XCpwTvncm0,Green Light with Chris Long,https://www.youtube.com/channel/UCgxWFAA-wuB7osdiAJyLOcw,2024-10-20 14:02:55.843000+00:00,YouTube,YouTube watch history,1XCpwTvncm0,1170.0,"['American football', 'Sport']"
YouTube,"Watched Nick Sirianni: ""I know what the f*ck I'm doing, and I'm allowed to be down here""",https://www.youtube.com/watch?v=hkfv-X5nCGQ,Highlight Heaven,https://www.youtube.com/channel/UCq0grzC77X9UZd9xngQRTjg,2024-10-20 14:02:17.053000+00:00,YouTube,YouTube watch history,hkfv-X5nCGQ,37.0,"['American football', 'Sport']"
YouTube,Watched Nick Sirianni on his altercation with the Philly crowd #shorts,https://www.youtube.com/watch?v=eDYvkWNuvl0,CBS Sports,https://www.youtube.com/channel/UCja8sZ2T4ylIqjggA1Zuukg,2024-10-20 14:02:00.397000+00:00,YouTube,YouTube watch history,eDYvkWNuvl0,12.0,"['American football', 'Sport']"
YouTube,Watched Nick Sirianni had some words for the crowd after the Eagles sealed the win #shorts,https://www.youtube.com/watch?v=FLcgN8n6UuI,CBS Sports,https://www.youtube.com/channel/UCja8sZ2T4ylIqjggA1Zuukg,2024-10-20 14:01:48.594000+00:00,YouTube,YouTube watch history,FLcgN8n6UuI,9.0,"['Baseball', 'Sport']"
YouTube,Watched Nick Sirianni yelling back at Eagles fans #nfl #eagles,https://www.youtube.com/watch?v=iGOpiG2MSsk,Sports Will Last ,https://www.youtube.com/channel/UCf4283EAQdvW7-kln4B9KIw,2024-10-20 14:01:31.448000+00:00,YouTube,YouTube watch history,iGOpiG2MSsk,9.0,"['American football', 'Sport']"
